ds,y,forecast,residual,type
2019-11-01,749358785520.2365,773261333234.8033,-23902547714.566895,Drop
2020-01-01,907734452369.2148,887615483088.0748,20118969281.140015,Spike
2020-03-01,867266114382.9457,887055365161.4827,-19789250778.536987,Seasonal Outlier
2020-04-01,740690917271.3763,761292043092.6498,-20601125821.273438,Drop
2020-06-01,990677899524.4166,970190589377.8639,20487310146.552734,Spike
2020-11-01,1830272303265.7917,1849699570882.4731,-19427267616.681396,Drop
2022-05-01,5306047432700.911,5276529517437.733,29517915263.177734,Spike
2022-06-01,5223675037961.322,5243473564369.06,-19798526407.737305,Drop
2022-09-01,5731282729944.029,5705273157174.723,26009572769.30664,Seasonal Outlier
2023-01-01,6796749963835.027,6763924915685.877,32825048149.15039,Spike
2023-02-01,6372101616110.909,6421391259543.992,-49289643433.08301,Drop
2023-07-01,7692055709145.521,7709447449350.816,-17391740205.29492,Drop
2024-05-01,10833855169335.947,10805957464229.367,27897705106.58008,Spike
2024-07-01,10507259024191.338,10537979995060.77,-30720970869.43164,Drop
