ds,forecast
2024-10-01,30710957758060.074
2024-07-01,29350156074577.12
2024-04-01,27989354391094.168
2024-01-01,26628552707611.215
2023-10-01,25267751024128.26
2023-07-01,23906949340645.31
2023-04-01,22546147657162.355
2023-01-01,21185345973679.402
2022-10-01,19824544290196.45
2022-07-01,18463742606713.496
2022-04-01,17102940923230.543
2022-01-01,15742139239747.59
2021-10-01,14381337556264.633
2021-07-01,13020535872781.68
2021-04-01,11659734189298.727
2021-01-01,10298932505815.773
2020-10-01,8938130822332.82
2020-07-01,7577329138849.867
2020-04-01,6216527455366.914
2020-01-01,4855725771883.961
2019-10-01,3494924088401.006
2019-07-01,2134122404918.0527
2019-04-01,773320721435.0996
2019-01-01,-587480962047.8535
2018-10-01,-1948282645530.8076
2018-07-01,-3309084329013.7607
2018-04-01,-4669886012496.715
2018-01-01,-6030687695979.668
