ds,forecast
2016-04-01,53574346684.49863
2016-05-01,53574346684.49863
2016-06-01,53014933528.66883
2016-07-01,53210733407.40485
2016-08-01,53210733407.40485
2016-09-01,53210733407.40485
2016-10-01,52846690194.62222
2016-11-01,53210733407.40485
2016-12-01,53210733407.40485
2017-01-01,53574346684.49863
2017-02-01,53574346684.49863
2017-03-01,53574346684.49863
2017-04-01,53574346684.49863
2017-05-01,53574346684.49863
2017-06-01,53210733407.40485
2017-07-01,53014933528.66883
2017-08-01,53210733407.40485
2017-09-01,53210733407.40485
2017-10-01,53210733407.40485
2017-11-01,53210733407.40485
2017-12-01,53210733407.40485
2018-01-01,53574346684.49863
2018-02-01,59186829309.15531
2018-03-01,60896514598.06593
2018-04-01,92927369604.86674
2018-05-01,93155994487.60677
2018-06-01,120029377939.21504
2018-07-01,131281251182.1664
2018-08-01,147990657669.45776
2018-09-01,195152511400.2943
2018-10-01,196831858040.96722
2018-11-01,217517078676.0696
2018-12-01,255768084314.81433
2019-01-01,307168934621.3712
2019-02-01,308934680010.50946
2019-03-01,359607324192.47107
2019-04-01,473166353013.897
2019-05-01,447069405065.8174
2019-06-01,447079561687.36395
2019-07-01,502999950819.5763
2019-08-01,565578059760.0552
2019-09-01,596335878598.385
2019-10-01,711267639014.6091
2019-11-01,737107529558.8402
2019-12-01,819607305188.7346
2020-01-01,909048438830.5891
2020-02-01,922104292919.8315
2020-03-01,868524231229.0693
2020-04-01,739668430703.5432
2020-05-01,916102958213.6915
2020-06-01,989598368673.7783
2020-07-01,1181097736170.6067
2020-08-01,1287025290548.3054
2020-09-01,1425119295407.0068
2020-10-01,1707377647478.5056
2020-11-01,1840757976373.8923
2020-12-01,1848029992943.047
2021-01-01,1969557399825.7224
2021-02-01,1965140804960.382
2021-03-01,2347996176146.9536
2021-04-01,2475251062425.812
2021-05-01,2373919480858.265
2021-06-01,2626515825960.174
2021-07-01,2867555736690.776
2021-08-01,3139386283831.2637
2021-09-01,3219610367008.9873
2021-10-01,3769473284800.2646
2021-11-01,3762710321845.7046
2021-12-01,4085030757657.171
2022-01-01,4204239238568.6846
2022-02-01,4113732320420.222
2022-03-01,4922476184050.564
2022-04-01,4977404104727.152
2022-05-01,5289019362520.18
2022-06-01,5238950389035.613
2022-07-01,5307367947077.076
2022-08-01,5554835062128.459
2022-09-01,5731223484414.411
2022-10-01,6159699808791.811
2022-11-01,6159196541121.044
2022-12-01,6594871064485.557
2023-01-01,6794527858014.979
2023-02-01,6374955232620.224
2023-03-01,7352655989393.683
2023-04-01,7359663213743.575
2023-05-01,7796621145066.21
2023-06-01,7743611022912.8125
2023-07-01,7703993800425.746
2023-08-01,8176295635918.671
2023-09-01,8146946249269.259
2023-10-01,8905496333822.096
2023-11-01,8766140224887.873
2023-12-01,9377897504727.715
2024-01-01,9525011465806.264
2024-02-01,9439158388792.533
2024-03-01,10490345241279.035
2024-04-01,10268879665986.56
2024-05-01,10804968877453.176
2024-06-01,10721344275841.16
2024-07-01,10525640185242.508
2024-08-01,10899029035477.459
2024-09-01,10945707084959.088
2024-10-01,12228283522927.072
2024-11-01,11429894789950.94
2024-12-01,12335549026953.203
2025-01-01,12340690404045.912
2025-02-01,12340398416151.209
2025-03-01,12340130896717.129
2025-04-01,12340130896717.129
2025-05-01,12349886715102.809
2025-06-01,12339230536385.36
2025-07-01,12338211870806.17
