Month,No_of_Banks_live_on_UPI,Volume_in_Mn,Value_in_Cr
Jul-25,684,19467.95,2508498.09
Jun-25,675,18395.01,2403930.69
May-25,673,18677.46,2514297.01
Apr-25,668,17893.42,2394925.87
Mar-25,661,18301.51,2477221.61
Feb-25,653,16106.19,2196481.69
Jan-25,647,16996.00,2348037.12
Dec-24,641,16730.01,2324699.91
Nov-24,637,15482.02,2155187.40
Oct-24,632,16584.97,2349821.46
Sep-24,622,15041.75,2063994.71
Aug-24,608,14963.05,2060735.57
Jul-24,605,14435.55,2064292.41
Jun-24,602,13885.14,2007081.20
May-24,598,14035.84,2044937.05
Apr-24,583,13303.99,1964464.52
Mar-24,572,13440.00,1978353.23
Feb-24,560,12102.67,1827869.35
Jan-24,550,12203.02,1841083.97
Dec-23,522,12020.23,1822949.42
Nov-23,516,11235.29,1739740.61
Oct-23,505,11408.79,1715768.34
Sep-23,492,10555.69,1579133.18
Aug-23,484,10586.02,1576536.56
Jul-23,473,9964.61,1533536.44
Jun-23,458,9335.06,1475464.26
May-23,445,9415.19,1489145.44
Apr-23,414,8863.26,1415504.71
Mar-23,399,8685.30,1410443.01
Feb-23,390,7534.76,1235846.62
Jan-23,385,8036.89,1298726.62
Dec-22,382,7829.49,1282055.01
Nov-22,376,7309.45,1190593.39
Oct-22,365,7305.42,1211582.51
Sep-22,358,6780.80,1116438.10
Aug-22,346,6579.63,1072792.68
Jul-22,338,6288.40,1062991.76
Jun-22,330,5862.75,1014384.31
May-22,323,5955.20,1041520.07
Apr-22,316,5583.05,983302.27
Mar-22,314,5405.65,960581.66
Feb-22,304,4527.49,826843.00
Jan-22,297,4617.15,831993.11
Dec-21,282,4566.30,826848.22
Nov-21,274,4186.48,768436.11
Oct-21,261,4218.65,771444.98
Sep-21,259,3654.30,654351.81
Aug-21,249,3555.55,639116.95
Jul-21,235,3247.82,606281.14
Jun-21,229,2807.51,547373.17
May-21,224,2539.57,490638.65
Apr-21,220,2641.06,493663.68
Mar-21,216,2731.68,504886.44
Feb-21,213,2292.90,425062.76
Jan-21,207,2302.73,431181.89
Dec-20,207,2234.16,416176.21
Nov-20,200,2210.23,390999.15
Oct-20,189,2071.62,386106.74
Sep-20,174,1800.14,329027.66
Aug-20,168,1618.83,298307.61
Jul-20,164,1497.36,290537.86
Jun-20,155,1336.93,261835.00
May-20,155,1234.50,218391.60
Apr-20,153,999.57,151140.66
Mar-20,148,1246.84,206462.31
Feb-20,146,1325.69,222516.95
Jan-20,144,1305.02,216242.97
Dec-19,143,1308.40,202520.76
Nov-19,143,1218.77,189229.09
Oct-19,141,1148.36,191359.94
Sep-19,141,955.02,161456.56
Aug-19,141,918.35,154504.89
Jul-19,143,822.29,146386.64
Jun-19,142,754.54,146566.35
May-19,143,733.54,152449.29
Apr-19,144,781.79,142034.39
Mar-19,142,799.54,133460.72
Feb-19,139,674.19,106737.12
Jan-19,134,672.75,109932.43
Dec-18,129,620.17,102594.82
Nov-18,128,524.94,82232.21
Oct-18,128,482.36,74978.27
Sep-18,122,405.87,59835.36
Aug-18,114,312.02,54212.26
Jul-18,114,273.75,51843.14
Jun-18,110,246.37,40834.03
May-18,101,189.48,33288.51
Apr-18,97,190.08,27021.85
Mar-18,91,178.05,24172.60
Feb-18,86,171.40,19126.20
Jan-18,71,151.83,15571.20
Dec-17,67,145.64,13174.24
Nov-17,61,105.02,9669.33
Oct-17,60,76.96,7057.78
Sep-17,57,30.98,5325.81
Aug-17,55,16.80,4156.62
Jul-17,53,11.63,3411.35
Jun-17,52,10.35,3098.36
May-17,49,9.36,2797.07
Apr-17,48,7.20,2271.24
Mar-17,44,6.37,2425.14
Feb-17,44,4.38,1937.71
Jan-17,36,4.46,1696.22
Dec-16,35,1.99,707.93
Nov-16,30,0.29,100.46
Oct-16,26,0.10,48.57
Sep-16,25,0.09,32.64
Aug-16,21,0.09,3.09
Jul-16,21,0.09,0.38
Jun-16,21,0.00,0.00
May-16,21,0.00,0.00
Apr-16,21,0.00,0.00
